route ID,From,To,Stops are switched correctly?,To be deleted?,All stops are included?,Remark
140,Bastora,Panaji,,,,
114,Bicholim Bus Stand,Madel,,,,
145,Bicholim Bus Stand,Mapusa,,,,
138,Bicholim Bus Stand,Narve,,,,
110,Bicholim Bus Stand,Poira,,,,
74,Bicholim Bus Stand,ponda Kadamba Busstand,,,,
14,Harbour Vasco,Devsu,,,,
21,Harbour Vasco,Margao City,,,,
13,Harbour Vasco,Panaji,,,,
78,Kala Academy,Nanorem,,,,
87,Kala Academy,Surla,,,,
111,Mapusa,Amadi,,,,
64,Mapusa,Badem,,,,
70,Mapusa,Baga Bus Stand,,,,
143,Mapusa,Bicholim Bus Stand,,,,
107,Mapusa,Calvi,,,,
99,Mapusa,Calvi,,,,
61,Mapusa,Fatorpa,,,,
106,Mapusa,Gaonkarwada Camurlim,,,,
146,Mapusa Court,Aturli,,,,
137,Naneli,Panaji,,,,
142,Narve Ferry,ponda Kadamba Busstand,,,,
100,Panaji,Advoi,,,,
101,Panaji,Advoi,,,,
66,Panaji,Advoi,,,,
77,Panaji,Advoi,,,,
32,Panaji,Amadi,,,,
67,Panaji,Ashwem,,,,
84,Panaji,Badem,,,,
58,Panaji,Banda,,,,
103,Panaji,Betul,,,,
68,Panaji,Betul,,,,
123,Panaji,Bicholim Bus Stand,,,,
144,Panaji,Bicholim Bus Stand,,,,
136,Panaji,Borim Bridge,,,,
29,Panaji,Calvi,,,,
47,Panaji,Carambolim,,,,
30,Panaji,Corjuem,,,,
92,Panaji,Cortalim Junction,,,,
89,Panaji,Cunchelim,,,,
33,Panaji,Don Khambe,,,,
44,Panaji,Dumacem,,,,
34,Panaji,Harambol,,,,
75,Panaji,Harambol,,,,
4,Panaji,Harbour Vasco,,,,
17,Panaji,Hedode,,,,
57,Panaji,Ibrampur,,,,
124,Panaji,Ivrem,,,,
38,Panaji,Ivrem,,,,
51,Panaji,Ivrem,,,,
82,Panaji,Ivrem,,,,
93,Panaji,Kalay,,,,
65,Panaji,Karwar Bus Stand,,,,
36,Panaji,Keri,,,,
90,Panaji,Konalkati,,,,
150,Panaji,Korgao,,,,
85,Panaji,Kumbharwada,,,,
28,Panaji,Madel,,,,
80,Panaji,Madel,,,,
108,Panaji,Madlamaz,,,,
148,Panaji,Madlamaz,,,,
104,Panaji,Mandrem,,,,
9,Panaji,Mandrem,,,,
141,Panaji,Mapusa,,,,
135,Panaji,Margao Kadamba Busstand,,,,
2,Panaji,Margao Kadamba Busstand,,,,
5,Panaji,Margao Kadamba Busstand,,,,
91,Panaji,Margao Kadamba Busstand,,,,
27,Panaji,Miramar,,,,
98,Panaji,Mollem,,,,
35,Panaji,Morjim Tem,,,,
46,Panaji,Morlem,,,,
60,Panaji,Nanorem,,,,
81,Panaji,Narve,,,,
147,Panaji,Nerul,,,,
149,Panaji,Ozari,,,,
7,Panaji,Patradevi,,,,
139,Panaji,Poira,,,,
79,Panaji,Poira,,,,
113,Panaji,ponda Kadamba Busstand,,,,
26,Panaji,Quitla,,,,
62,Panaji,Quitla,,,,
10,Panaji,Sakhali Bus Stand,,,,
88,Panaji,Sal,,,,
71,Panaji,Sanvordem,,,,
95,Panaji,Sanvordem,,,,
1,Panaji,Satre,,,,
96,Panaji,Sawantwadi Bus stand,,,,
49,Panaji,Shigne,,,,
72,Panaji,Shiroda Shivnathi Temple ,,,,
45,Panaji,St. Pedro,,,,
25,Panaji,Usap,,,,
105,Panaji,Valpoi Bus Stand,,,,
41,Panaji,Valpoi Bus Stand,,,,
59,Panaji,Valpoi Bus Stand,,,,
97,Panaji,Valpoi Bus Stand,,,,
3,Panaji,Vasco Market,,,,
112,Panaji,Velguem,,,,
56,Panaji,Velguem,,,,
94,Panaji,Verna Titan,,,,
76,Panaji,Vijaydurga,,,,
37,Panaji,Virdi,,,,
151,Panaji,Zarme,,,,
8,Panaji,Zarme,,,,
109,Panaji Market,Camurlim Kairat,,,,
63,Panaji Market,Camurlim Kairat,,,,
102,Panaji Market,Mapusa,,,,
83,Panaji Market,Mapusa,,,,
86,Panaji Market,Naneli,,,,
55,ponda Kadamba Busstand,Bicholim Bus Stand,,,,
54,ponda Kadamba Busstand,Margao Kadamba Busstand,,,,
69,ponda Kadamba Busstand,Savoi Verem,,,,
73,ponda Kadamba Busstand,VATHADEV,,,,
127,ponda Kadamba Busstand,Verna Cipla,,,,
128,ponda Kadamba Busstand,Volvoi,,,,
11,Sada Vasco,AKHADA,,,,
126,Sakhali Bus Stand,Querim,,,,
53,Valpoi Bazaar,Dabem,,,,
52,Valpoi Bazaar,Ustem,,,,
129,Valpoi Bus Stand,Advoi,,,,
125,Valpoi Bus Stand,Caranzol,,,,
131,Valpoi Bus Stand,Ivrem,,,,
133,Valpoi Bus Stand,Panaji Market,,,,
130,Valpoi Bus Stand,Satre,,,,
134,Valpoi Bus Stand,Velguem,,,,
132,Valpoi Bus Stand,Zarme,,,,
20,Vasco Kadamba Bus Stand,Assolda ,,,,
22,Vasco Kadamba Bus Stand,Belgaum Bus Stand,,,,
23,Vasco Kadamba Bus Stand,Hedode,,,,
24,Vasco Kadamba Bus Stand,Mapusa,,,,
19,Vasco Kadamba Bus Stand,Margao Kadamba Busstand,,,,
15,Vasco Kadamba Bus Stand,Pedne Bus Stand,,,,
6,Vasco Kadamba Bus Stand,Polem Goa Border,,,,
12,Vasco Kadamba Bus Stand,ponda Kadamba Busstand,,,,
18,Vasco Kadamba Bus Stand,Sonal,,,,
16,Vasco Kadamba Bus Stand,Valpoi Bus Stand,,,,
