pnj,mrg,vsg,prv,tara_no,Binding,Correction to TARA route,Delete TARA route,Delete ETM route,Note,Comment,NewYug Comment,,,173,Routes mapped,,,,,,
,,,33,1,,,,,,,,,,,,,,,,,
20,,,57,2,,,,,,,,,,,,,,,,,
55,,,,3,,,,,,,,,,,,,,,,,
22,,,62,4,,,,,,,,,,,,,,,,,
12,,,7,5,,,,,,,,,,,,,,,,,
,,51,,6,,,,,,,,,,,,,,,,,
,,,147,7,,,,,,,,,,,,,,,,,
,,,37,8,,,,,,,,,,,,,,,,,
,,,,9,,,,,,THIS ROUTE TO DELETE,,,,,,,,,,,
105,,,80,10,,,,,,,,,,,,,,,,,
,,6,,11,,,,,,,,,,,,,,,,,
,,29,,12,,,,,,,,,,,,,,,,,
,,1,1,13,,,,,,,,,,,,,,,,,
,,19,,14,,,,,,,,,,,,,,,,,
,,,,15,,,,,,"TO MAKE IT  I.S. - only two ETM Routes Pnj-Pedne ETM R.Nos.Pnj138 & Pnj64 but TARA R.No.15 shows Vasco-Pedne This route is probably Inter-state route that needs to be extended further upto destinations like Miraj, Malvan, sawantwadi, etc",,,,,,,,,,,
,,,,16,,,,,,THIS ROUTE TO DELETE,,,,,,,,,,,
,,43,,17,,,,,,To match with Vsg43 (Pnj-Sonal),,,,,,,,,,,
,,23,,18,,,,,,,,,,,,,,,,,
,,22,,19,,,,,,,,,,,,,,,,,
,,34,,20,,,,,,,,,,,,,,,,,
,,31,,21,,,,,,,,,,,,,,,,,
,,7,,22,,,,,,,,,,,,,,,,,
,,20,,23,,,,,,,,,,,,,,,,,
,,36,,24,,,,,,,,,,,,,,,,,
,,,159,25,,,,,,,,,,,,,,,,,
,,,4,26,,,,,,,,,,,,,,,,,
,,,6,27,,,,,,,,,,,,,,,,,
,,,8,28,,,,,,,,,,,,,,,,,
,,,10,29,,,,,,,,,,,,,,,,,
,,,11,30,,,,,,,,,,,,,,,,,
,,,12,32,,,,,,,,,,,,,,,,,
95,,,68,34,,,,,,route to be deleted,,,,,,,,,,,
,,,16,35,,,,,,,,,,,,,,,,,
,,,18,36,,,,,,,,,,,,,,,,,
,,,20,37,,,,,,,,,,,,,,,,,
,,,21,38,,,,,,,,,,,,,,,,,
,,,,41,,,,,,DELETE THIS ROUTE,,,,,,Ref.Prv106 Route from Pnj-Hivrem not Pnj-Valpoi. So TARA R.No.41 to be taken up to Valpoi,,,,,
,,,28,44,,,,,,,,,,,,,,,,,
37,,24,78,45,,,,,,,,,,,,,,,,,
,,,29,46,,,,,,,,,,,,,,,,,
,,,90,47,,,,,,,,,,,,,,,,,
,,,,49,,,,,,No ETM route but continue to maintain this route online,,,,,,,,,,,
,,,42,51,,,,,,,,,,,,,,,,,
,,,101,52,,,,,,,,,,,,,,,,,
,,,111,54,,,,,,,,,,,,,,,,,
,,,119,55,,,,,,,,,,,,,,,,,
,,,30,56,,,,,,,,,,,,,,,,,
,,,155,57,,,,,,,,,,,,,,,,,
104,140,,114,59,,,,,,,,,,,,,,,,,
,,,,59,,,,,,THIS ROUTE TO DELETE,,,,,,,,,,,
,,,157,60,,,,,,,,,,,,,,,,,
84,,,158,61,,,,,,,,,,,,,,,,,
,,,121,62,,,,,,,,,,,,,,,,,
56,,,123,64,,,,,,,,,,,,,,,,,
65,102,,55,65,,,,,,,,,,,,,,,,,
,,,,66,,,,,,THIS ROUTE TO DELETE,,,,,,,,,,,
,,,79,67,,,,,,,,,,,,,,,,,
,,,73,68,,,,,,,,,,,,,,,,,
,54,,,69,,,,,,,,,,,,,,,To add the two stops of Mrg54 to TARA 69,,
,,,128,70,,,,,,,,,,,,,,,,,
,,,63,71,,,,,,,,,,,,,,,,,
,,12,,72,,,,,,,,,,,,,,,,,
,,37,,73,,,,,,match this route with vsg37 - Ponda-Kudchire-Bharade,,,,,,"ETM Vsg37 Route is Ponda-Kudchire-Bharade, not Ponda Kudchire as TARA 73",,,,,
,,,,74,,,,,,This route to delete (repeat of tara 217),,,,,,,,,,,
,,,15,75,,,,,,TO DELETE THIS ROUTE,,,,,,,,,,,
,,,17,76,,,,,,,,,,,,,,,,,
,,,23,78,,,,,,,,,,,,,,,,,
,,,25,79,,,,,,,,,,,,,,,,,
,,,26,80,,,,,,,,,,,,,,,,,
,,,27,81,,,,,,,,,,,,,,,,,
,,,34,83,,,,,,,,,,,,,,,,,
5,,,,84,,,,,,,,,,,,,,,,,
,,,36,85,,,,,,,,,,,,,,,,,
,,,38,86,,,,,,,,,,,,,,,,,
,,,40,87,,,,,,,,,,,,,,,,,
,,,41,88,,,,,,,,,,,,,,,,,
,,,43,89,,,,,,,,,,,,,,,,,
,,,54,90,,,,,,,,,,,,,,,,,
58,,,88,92,,,,,,,,,,,,,,,,,
51,,,61,94,,,,,,,,,,,,,,,,,
10,,,59,95,,,,,,,,,,,,,,,,,
1,,,66,96,,,,,,,,,,,,,,,,,
103,,,67,97,,,,,,,,,,,,,,,,,
,66,,,98,,,,,,,,,,,,,,,,,
,,,83,99,,,,,,,,,,,,,,,,,
,,,39,100,,,,,,,,,,,,,,,,,
,,,71,101,,,,,,,,,,,,,,,,,
,,,72,102,,,,,,,,,,,,,,,,,
,,,75,104,,,,,,,,,,,,,,,,,
,,,77,105,,,,,,,,,,,,,,,,,
,,,82,106,,,,,,,,,,,,,,,,,
,,,85,109,,,,,,,,,,,,,,,,,
,,,87,110,,,,,,match this route with prv87 - Bch-Sinquirim. Last stop Sinquirim needs to b created n added to this route,,,,,,,,,,,
,,,89,111,,,,,,,,,,,,,,,,,
24,,,91,113,,,,,,,,,,,,,,,,,
,,,94,114,,,,,,,,,,,,,,,,,
,,,96,123,,,,,,,,,,,,,,,,,
,,,32,124,,,,,,,,,,,,,,,,,
,,,99,125,,,,,,,,,,,,,,,,,
38,,,,126,,,,,,match dis route with pnj38,,,,,,(prv100 stops common upto Marcel...pls cnfm whether its same route as TARA126),,,,,
,,,103,127,,,,,,,,,,,,,,,,,
,,,104,128,,,,,,,,,,,,No ETM route found,,,,,
,,,,129,,,,,,route to be deleted,,,,,,No ETM route found,,,,,
,,,109,130,,,,,,,,,,,,,,,,,
,,,112,131,,,,,,,,,,,,,,,,,
,,,113,132,,,,,,,,,,,,,,,,,
,,,116,133,,,,,,,,,,,,,,,,,
,,,117,134,,,,,,,,,,,,,,,,,
,,,118,135,,,,,,,,,,,,,,,,,
134,,,,138,,,,,,TO MAKE THIS A CIRCULAR ROUTE BICHOLIM-BICHOLIM (PNJ134),,,,,,,,,,,
,,,129,142,,,,,,,,,,,,,,,,,
,,,132,143,,,,,,,,,,,,,,,,,
,,,133,144,,,,,,,,,,,,,,,,,
,,,135,145,,,,,,,,,,,,,,,,,
,,,136,146,,,,,,,,,,,,,,,,,
,,,84,148,,,,,,,,,,,,,,,,,
,,,144,149,,,,,,,,,,,,,,,,,
,,,146,150,,,,,,,,,,,,,,,,,
,,,151,151,,,,,,,,,,,,,,,,,
,,,56,152,,"few imp stops to be generated (Nandgaon, Tarale, Panasgaon, Vaghotan, Padel Canteen n Vijaydurg)",,,,"ETM prv56 Pnj-Vijaydurg (Maharashtra) with TARA R.N.152,,,,,,,,,,,
,,,31,153,,,,,,,,,,,,,,,,,
,,64,,167,,,,,,,,,,,,,,,,,
55,86,60,88,168,,,,,,,,,,,,,,,,,
,,,,169,,,,,,TARA 169 IS EXPRESS. TO CONTINUE TO MAINTAIN THIS ROUTE,,,,,,,,,,,
,,,38,170,,,,,,,,,,,,,(Dest.stop is Harambol of Prv68...  Pls add dest.stop as Harambol on TARA 160),,,,
,,,,171,,,,,,THIS IS STANDBY ROUTE CREATED N NOT AS PER ETM.TARA 171 IS UPTO MRG CITY WHEREAS PNJ20 & PRV57 ARE UPTO MRG KTC,,,,,,,,,,,
13,,7,,172,,,,,,,,,,,,,,,,,
11,,,,173,,,,,,,,,,,,,,,,,
3,,,,174,,,,,,,,,,,,,,,,,
27,,,,175,,,,,,,,,,,,,,,,,
94,,30,,176,,,,,,,,,,,,,,,,,
42,,,,182,,,,,,,,,,,,,,,,,
21,,,,183,,,,,,,,,,,,,,,,,
93,,,,184,,,,,,,,,,,,,,,,,
48,,,,185,,,,,,,,,,,,,,,,,
39,,30,,186,,,,,,,,,,,,,,,,,
65,,,,187,,,,,,,,,,,,,,,,,
9,,,,188,,,,,,,,,,,,,,,,,
18,,,,189,,,,,,,,,,,,,,,,,
33,,,,190,,,,,,,,,,,,,,,,,
43,,,,191,,,,,,,,,,,,,,,,,
44,,,,192,,,,,,,,,,,,,,,,,
45,,,,193,,,,,,,,,,,,,,,,,
46,,,,194,,,,,,,,,,,,,,,,,
59,,,,195,,,,,,,,,,,,,,,,,
62,,,,196,,,,,,"Ponda-Codli Tisk, via Dabhal ... Online RHS last stop shows as Gaular (ETM Pnj62)",,,,,,,,,,,
63,,,,197,,,,,,,,,,,,,,,,,
67,,,,198,,,,,,,,,,,,,,,,,
68,,,,199,,,,,,STOPS TO BE ARRANGED RITE,,,,,,,,,,,
78,,,,200,,,,,,,,,,,,,,,,,
87,,,,201,,,,,,,,,,,,,,,,,
111,,,49,202,,,,,,,,,,,,,,,,,
68,,,,203,,,,,,,,,,,,,,,,,
41,,,,204,,,,,,,,,,,,,,,,,
,,,,205,,,,,,route to delete  (REPEAT OF TARA 94),,,,,,,,,,,
53,,,,206,,,,,,,,,,,,,,,,,
60,,,,207,,,,,,,,,,,,,,,,,
64,,,,208,,,,,,,,,,,,,,,,,
73,,,,209,,,,,,,,,,,,,,,,,
82,,,,210,,,,,,,,,,,,,,,,,
86,,,,211,,,,,,,,,,,,,,,,,
90,,,,212,,,,,,,,,,,,,,,,,
91,,,,213,,,,,,,,,,,,,,,,,
,,,,214,,,,,,TO DELETE THIS ROUTE,,,,,,"TARA 214 stops to add aftr Junaswada... Harambol, Palyem, Kiranpani n Keri",,,,,
,,,,215,,,,,,TO DELETE THIS ROUTE,,,,,,,,,,,
102,,,,216,,,,,,TO MATCH PNJ102 PONDA-SHIRSHIRE,,,,,,,,,,,
109,,,5,217,,,,,,,,,,,,,,,,,
110,,,,218,,,,,,,,,,,,,,,,,
124,,,,219,,,,,,,,,,,,,,,,,
125,,,44,220,,,,,,,,,,,,,,,,,
25,,,,221,,,,,,,,,,,,,,,,,
26,121,,,222,,,,,,,,,,,,,,,,,
71,,,,223,,,,,,,,,,,,,,,,,
,35,25,,,,,,,,,,,,,,,,,,,
,34,50,,,,,,,,,,,,,,,,,,,
,10,,150,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
