tara_no,etm_no,via,?,,,79,Routes mapped
1,,,,,,,
114,prv94,,prv139,,,,
145,prv135,,,,,,
74,prv5,,,,,,
167,vsg64,,,,,,
14,vsg19,,,,,,
21,vsg31,,,,,,
13,vsg19,,,,,,
78,prv23,,,,,,
87,prv40,,,,,,
111,prv89,,prv70,,,,
64,prv123,,,,,,
64,pnj56,,,,,,
70,prv128,,,,,,
143,prv132,,,,,,
99,prv83,,prv70,,,,
106,prv82,,,,,,
61,prv158,,,,,,
146,prv136,,,,,,
142,prv129,,,,,,
100,prv39,,,,,,
66,,,,,,,
67,prv79,,,,,,
84,pnj5,,,,,,
68,prv73,,,,,,
123,prv96,,prv161,prv163,ETMs Pnj-Bch not on TARA,,
144,prv133,,,,,,
56,prv30,,,,,,
44,prv28,,,,,,
34,prv68,,,prv14,,,
75,prv15,,,,,,
38,prv21,,prv32,prv42,prv98,prv106,
51,,,,,,,
57,prv155,,,,,,
95,prv59,,,,,,
95,pnj10,,,,,,
65,prv55,,,,,,
90,prv54,,,,,,
36,prv18,,,,,,
76,pnj17,,pnj56,,,,
150,prv145,,prv146,,,,
209,pnj73,,,,,,
218,pnj110,,,,,,
217,pnj109,,,,,,
213,pnj91,,,,,,
223,pnj71,,,,,,
189,pnj18,,,,,,
188,pnj9,,,,,,
198,pnj67,,,,,,
172,pnj13,,,,,,
202,pnj111,,,,,,
190,pnj33,,,,,,
212,pnj90,,,,,,
176,pnj94,,,,,,
186,pnj39,,,,,,
215,pnj95,,,,,,
183,pnj21,,,,,,
200,pnj78,,,,,,
204,pnj41,,,,,,
208,pnj64,,,,,,
197,pnj63,,,,,,
193,pnj45,,,,,,
220,pnj125,,,,,,
185,pnj448,,,,,,
206,pnj53,,,,,,
207,pnj61,,,,,,
201,pnj87,,,,,,
175,pnj27,,,,,,
191,pnj43,,,,,,
187,pnj65,,,,,,
194,pnj46,,,,,,
182,pnj42,,,,,,
205,pnj51,,,,,,
199,pnj68,,pnj36,online R.No.199 - Stops need to be put to respective stages,,,
192,pnj44 ,,,,,,
221,pnj25,,,,,,
196,pnj62,,,,,,
211,pnj86,,,,,,
195,pnj59,,,,,,
